id,name,category_id,description,is_active,subcategory_id,marca,package_size,segment,timac_points
d91dd5d2-d996-4fe2-9d54-34f13e8c784f,RAZANTE - PARAQUAT 24% - 20LTS,cat-agroquimicos,CHDS,t,sub-dessecacao,CHDS,20.00,herbicida,0.00
8113cd94-85ea-480a-a054-e734e13fbd7c,TECNOQUAT - PARAQUAT 24% - 20LTS,cat-agroquimicos,TECNOMYL,t,sub-dessecacao,TECNOMYL,20.00,herbicida,0.00
f0b05236-d521-4094-977b-ad9ced50298f,PARAFUR- PARAQUAT 24%,cat-agroquimicos,AGROFUTURO,t,sub-dessecacao,AGROFUTURO,,herbicida,0.00
c00c57ad-8d77-480a-aeaf-2b9813672231,CONFIRMM 84 WG - DICLOSULAN 84% - 500G,cat-agroquimicos,TECNOMYL,t,sub-dessecacao,TECNOMYL,,herbicida,0.00
7129b5b9-f393-4d0b-bbc8-5c440a995a4e,EXTRAZONE- SULFENTRAZONE 50%- 5LT,cat-agroquimicos,TAMPA,t,sub-dessecacao,TAMPA,5.00,herbicida,0.00
0a08b4cd-0607-4c49-8cd4-3df8334cd665,"PIXXARO - FLUROXYPYR 34,91% + HALAUXYFEN 1,64%-5L",cat-agroquimicos,CORTEVA,t,sub-dessecacao,CORTEVA,5.00,herbicida,0.00
747bb1cc-c7b9-4839-b605-18277253e9a9,"CRIPTON XPRO - PROTHIO. 17,5% + TRIFLOX. 15% + BIX",cat-agroquimicos,BAYER,t,sub-fungicidas,BAYER,,fungicida,0.00
3bb3c41f-a0e3-4d89-a990-300f1064b550,VESSARYA - 6L,cat-agroquimicos,CORTEVA,t,sub-fungicidas,CORTEVA,6.00,fungicida,0.00
d67bfe4f-7c1f-48d6-bf68-ad28defa4000,BIFENTAM 40MAX_ (BIFENTRINA 40%)- 5 LT,cat-agroquimicos,TAMPA,t,sub-inseticidas,TAMPA,5.00,inseticida,0.00
6b2001fe-680d-478f-81ad-79a733dce88b,ACETAMIPRID 70 WP- 1KG.,cat-agroquimicos,AGROPLUS,t,sub-inseticidas,AGROPLUS,1.00,inseticida,0.00
d43d65ec-b5bc-4f10-91ca-5ff6c68ce856,MIND 900 - METOMIL 90% - 1KG,cat-agroquimicos,IASA,t,sub-inseticidas,IASA,1.00,inseticida,0.00
434a722c-7c86-45a2-91ca-70d154414243,GALIL SC - 5 L,cat-agroquimicos,ADAMA,t,sub-inseticidas,ADAMA,5.00,inseticida,0.00
e00523c4-0eae-411b-ac18-e60fb986dbf5,OBERON - 1L,cat-agroquimicos,BAYER,t,sub-inseticidas,BAYER,1.00,inseticida,0.00
91c38b5e-7d1d-46c4-aafa-629ef73c7a4f,"ABAMEC - ABAMECTINA 8,4% - 1L",cat-agroquimicos,TECNOMYL,t,sub-inseticidas,TECNOMYL,1.00,inseticida,0.00
508c8cd9-f850-4df4-aa80-944ed1292142,UNIRON 10 - NOVALURON 10% - 1L,cat-agroquimicos,UPL,t,,UPL,1.00,outros,0.00
b95129bd-92dd-4580-80da-da1ce98fe4a0,TORBEN -TERBUTILAZINA 90% WG -10KG,cat-agroquimicos,TECNOMYL,t,,TECNOMYL,10.00,outros,0.00
897b00fa-474e-4066-89c8-e9cd0aea2635,FERTILEADER AXIS NG - 5L,cat-fertilizantes,,t,,,,,0.00
be6f0488-221f-4066-9609-9040322929c2,VESPER FIT WDG - 10% BENZOATO 40% LUFENURON - 1KG,6704c025-303a-404a-b9a4-706c4a7358c8,,t,,,,,0.00
94c84304-51e8-46d1-8c77-270f56a73198,SOYGUARD 30 - TEFLUBEZUROM 30% - 1L,6704c025-303a-404a-b9a4-706c4a7358c8,,t,,,,,0.00
94a9833c-7187-46a1-a9e8-0b1d78f35ad2,SNIPER - BIFENTRIN 40% - 5LTS,6704c025-303a-404a-b9a4-706c4a7358c8,,t,,,,,0.00
99d4252c-d96d-453a-a711-5b217e20299a,"ONLY - THIAMETOXAN 75% WG - 0,5KG",6704c025-303a-404a-b9a4-706c4a7358c8,,t,,,,,0.00
238b824b-8d61-4504-8103-d3246e94560c,DINOBIN - DINOTEFURAN 20% + BIFENTRIN 15% - 5LTS,6704c025-303a-404a-b9a4-706c4a7358c8,,t,,,,,0.00
8ec566ba-7361-4440-80e0-f43485f795b5,FERTIACTYL SWEET- 10 LTS.,cat-especialidades,TIMAC,t,,TIMAC,10.00,,1.00
8f54b10f-37fe-4b23-9193-2e0b9d841705,ACRESCENT RAIZ F - NEMATICIDA - 1L,cat-agroquimicos,,t,,,,outros,0.00
32d32be3-2ad3-499b-abc1-e543542aaf17,APPORT DIFENOTEFURAN 20%  LAMBDACIA. 20% - 5LTS,cat-agroquimicos,TECNOMYL,t,sub-tratamento-sementes,TECNOMYL,5.00,ts,0.00
4458184d-120e-4d0c-bbbb-3ee5aa61af7a,ONLY 60 SC - THIAMETOXAN 60% - 5LTS,cat-agroquimicos,TECNOMYL,t,sub-tratamento-sementes,TECNOMYL,5.00,ts,0.00
0b2a9a61-b19e-48bc-a528-e327525c3e45,BESULAR - 5LTS,cat-agroquimicos,RAINBOW,t,sub-tratamento-sementes,RAINBOW,5.00,ts,0.00
b6f1ebc5-d286-4923-81b0-0c223aff5084,KURIN 48 - FLUMIOXAZIM 48% - 5LTS,cat-agroquimicos,CIAGROPA,t,sub-tratamento-sementes,CIAGROPA,5.00,ts,0.00
ef7dd50f-8517-49eb-b5a0-5a5b6c113474,HURACAN 25 FS - FIPRONIL 25% - 5LTS,cat-agroquimicos,,t,sub-tratamento-sementes,TECNOMYL,5.00,ts,0.00
1ca2d63c-5a37-4b4f-9742-5d5390110f0d,ACRESCENT SOLUS F - NEMATICIDA - 20LTS,cat-agroquimicos,,t,sub-tratamento-sementes,,,ts,0.00
e0aef75a-fd6c-46d2-a9c9-ca5422766ff4,ACRESCENT RAIZ F - NEMATICIDA - 5LTS,cat-agroquimicos,,t,sub-tratamento-sementes,,,ts,0.00
f76061c1-0a87-4dfa-a8a2-ea61c1f28b03,CLOMA 48- CLOMAZONE 48%- 20L,cat-agroquimicos,,t,sub-dessecacao,,,herbicida,0.00
97f0f8d9-0951-49c2-a383-6e44e16680ed,GLUFOSEC - GLUFOSINATO 40% TAMPA - 20LTS,cat-agroquimicos,,t,sub-dessecacao,TAMPA,20.00,herbicida,0.00
d6c2f694-bbe0-4c71-9693-c101d29d71f1,"POLUX CLEAN - GLIFOSATO 60,8% - 20L",cat-agroquimicos,CHDS,t,sub-dessecacao,CHDS,20.00,herbicida,0.00
f9097fd4-3ed0-4f10-9206-c70d731f7427,"SPIREEL MIX- PROTIO17,5%+TRYFLO15%+BIXAFEN12,5- 5L",cat-agroquimicos,RAINBOW,t,sub-fungicidas,RAINBOW,5.00,fungicida,0.00
7c3aa2ce-c08c-43fd-9643-71a8d0d64484,MURALLA - MANCOZEB 75% WG - 25 KG,cat-agroquimicos,,t,sub-fungicidas,TECNOMYL,25.00,fungicida,0.00
426391ca-67ee-4677-a99f-f29ac0e96195,UNIZEB - MANCOZEB 80% WP - 25KG,cat-agroquimicos,UPL,t,sub-fungicidas,UPL,25.00,fungicida,0.00
942b7e11-c540-4baa-a084-1e797cc0c1c7,"CRIPTON SC - PROTHIO. 17,5% + TRIFLOXIS. 15% - 5LT",cat-agroquimicos,,t,sub-fungicidas,BAYER,,fungicida,0.00
6bb907ec-2914-4e84-9988-7225f0b9fd93,SOYGUARD 30 - TEFLUBEZUROM 30% - 5LT.,cat-agroquimicos,TECNOMYL,t,sub-inseticidas,TECNOMYL,5.00,inseticida,0.00
76d02c8a-56aa-45b0-9328-cc7953b2c81d,CAYENNE 60 SC - IMIDACLOPRID 60% - 5 L,cat-agroquimicos,CIAGROPA,t,sub-inseticidas,CIAGROPA,5.00,inseticida,0.00
da6cb26b-a89a-45c8-bf5d-2b3a3c753111,BELT - FLUBENDIAMIDA 48% - 500ML,cat-agroquimicos,BAYER,t,sub-inseticidas,BAYER,,inseticida,0.00
48030c95-7d98-4981-8489-49af286905db,AMPLIGO - CLORANTRA. 10% + LAMBDA. 5% - 1L,cat-agroquimicos,SYNGENTA PARAGUAY S.A.,t,sub-inseticidas,SYNGENTA PARAGUAY S.A.,1.00,inseticida,0.00
