id,user_id,master_client_id,custom_name,planting_area,cultures,planting_progress,is_top80_20,is_active,created_at,credit_limit,include_in_market_area
6b31d021-452c-41b6-ac7d-07af2fd54931,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,bd4be738-180e-478b-9928-6cb3d0cbde62,,,,0.00,f,t,2025-10-31 19:13:27.65699,,f
55570f6e-da80-4c5b-9167-1d1fd4445f67,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,7f5bc889-a394-4e82-a7a5-c7aa4aee3eeb,,,,0.00,f,t,2025-10-31 19:13:28.47263,,f
b05079c9-c4a0-4b4f-b42d-5d20e4a75b7c,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,9d39c4a2-0bd3-430f-96e5-11b356163c17,,,,0.00,f,t,2025-10-31 19:13:28.861093,,f
b4edb4ce-a4f7-445e-862a-35df1766c252,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,e22f3c2e-c367-4036-9dd3-09cb4c1264b0,,,,0.00,f,t,2025-10-31 19:13:29.244685,,f
0871aab8-861f-46fa-95e2-751057e1ed0a,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,4a87bf8b-b424-434d-9b53-1e71a109a844,,,,0.00,f,t,2025-10-31 19:13:29.626534,,f
f2ba9304-9cc3-4667-8605-7f1e20f65a4c,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,1fb50763-d0e5-415d-b318-c2cd660a1bf2,,,,0.00,f,t,2025-10-31 19:13:30.329781,,f
16f9aaeb-2669-4da2-af89-8ae7650a7d91,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,5b1c6fd0-04a3-4c35-ab1a-062b381ee09e,,,,0.00,f,t,2025-10-31 19:13:30.747593,,f
d6e41b9b-dc21-47da-98a9-6ca7d193d1ce,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,e93cf575-bcf1-4541-9591-e7b3802ff748,,,,0.00,f,t,2025-10-31 19:13:31.143837,,f
f46be4c9-209b-487f-84f5-40d6701e258c,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,a94ced72-43ad-4b56-a56b-957124958f59,,,,0.00,f,t,2025-10-31 19:13:31.516245,,f
c985fa2c-9bb7-4ce5-b6e8-025b02e142b0,3de3ad2e-1f77-45fa-937c-021f1ec3fb75,2e870ba8-c8c2-43d0-8d9f-1794028fd1dd,,,,0.00,f,t,2025-10-31 19:13:31.884418,,f
